# coverage of finite groups of order <= 60
# enumeration: GAP SmallGroups library (CITED, external)
# fixpoint rounds for R1: 2
# UNRESOLVED means: not covered by C1-C5/R1. NOT a height >= 2 claim.
order	id	structure	verdict	monolithic	phase	abelian_normal
42	1	C7 : C6	UNRESOLVED	true	6	C7
42	2	C2 x (C7 : C3)	UNRESOLVED	false	3	C14
42	3	C7 x S3	C3-AsemiE	false	2	C21
42	4	C3 x D14	C3-AsemiE	false	2	C21
42	5	D42	C3-AsemiE	false	2	C21
42	6	C42	C1-abelian	false	2	C21
43	1	C43	C1-abelian	true	43	1
44	1	C11 : C4	C4-dicyclic	false	4	C11
44	2	C44	C1-abelian	false	4	C11
44	3	D44	C3-AsemiE	false	2	C22
44	4	C22 x C2	C1-abelian	false	2	C22
45	1	C45	C1-abelian	false	5	C9
45	2	C15 x C3	C1-abelian	false	3	C15
46	1	D46	C3-AsemiE	true	2	C23
46	2	C46	C1-abelian	false	2	C23
47	1	C47	C1-abelian	true	47	1
48	1	C3 : C16	R1-subdirect	false	16	C3
48	2	C48	C1-abelian	false	3	C16
48	3	(C4 x C4) : C3	UNRESOLVED	true	3	C4 x C4
48	4	C8 x S3	C3-AsemiE	false	2	C24
48	5	C24 : C2	C3-AsemiE	false	2	C24
48	6	C24 : C2	C3-AsemiE	false	2	C24
48	7	D48	C3-AsemiE	false	2	C24
48	8	C3 : Q16	C4-dicyclic	false	0	-
48	9	C2 x (C3 : C8)	R1-subdirect	false	8	C6
48	10	(C3 : C8) : C2	R1-subdirect	false	0	-
48	11	C4 x (C3 : C4)	R1-subdirect	false	4	C12
48	12	(C3 : C4) : C4	R1-subdirect	false	0	-
48	13	C12 : C4	R1-subdirect	false	4	C12
48	14	(C12 x C2) : C2	C3-AsemiE	false	2	C12 x C2
48	15	(C3 x D8) : C2	R1-subdirect	false	0	-
48	16	(C3 : Q8) : C2	R1-subdirect	false	0	-
48	17	(C3 x Q8) : C2	R1-subdirect	false	0	-
48	18	C3 : Q16	R1-subdirect	false	0	-
48	19	(C6 x C2) : C4	R1-subdirect	false	4	C6 x C2
48	20	C12 x C4	C1-abelian	false	3	C4 x C4
48	21	C3 x ((C4 x C2) : C2)	C2-nilpotent2	false	2	C12 x C2
48	22	C3 x (C4 : C4)	C2-nilpotent2	false	4	C12
48	23	C24 x C2	C1-abelian	false	2	C24
48	24	C3 x (C8 : C2)	C2-nilpotent2	false	2	C24
48	25	C3 x D16	C3-AsemiE	false	2	C24
48	26	C3 x QD16	C3-AsemiE	false	2	C24
48	27	C3 x Q16	R1-subdirect	false	0	-
48	28	C2 . S4 = SL(2,3) . C2	UNRESOLVED	true	0	-
48	29	GL(2,3)	UNRESOLVED	true	0	-
48	30	A4 : C4	UNRESOLVED	false	0	-
48	31	C4 x A4	R1-subdirect	false	3	C4 x C2 x C2
48	32	C2 x SL(2,3)	UNRESOLVED	false	0	-
48	33	((C4 x C2) : C2) : C3	UNRESOLVED	true	0	-
48	34	C2 x (C3 : Q8)	R1-subdirect	false	0	-
48	35	C2 x C4 x S3	C3-AsemiE	false	2	C12 x C2
48	36	C2 x D24	C3-AsemiE	false	2	C12 x C2
48	37	(C12 x C2) : C2	C3-AsemiE	false	2	C12 x C2
48	38	D8 x S3	C3-AsemiE	false	0	-
48	39	(C4 x S3) : C2	R1-subdirect	false	0	-
48	40	Q8 x S3	R1-subdirect	false	0	-
48	41	(C4 x S3) : C2	R1-subdirect	false	0	-
48	42	C2 x C2 x (C3 : C4)	R1-subdirect	false	4	C6 x C2
48	43	C2 x ((C6 x C2) : C2)	C3-AsemiE	false	2	C6 x C2 x C2
48	44	C12 x C2 x C2	C1-abelian	false	2	C12 x C2
48	45	C6 x D8	C2-nilpotent2	false	2	C6 x C2 x C2
48	46	C6 x Q8	C2-nilpotent2	false	0	-
48	47	C3 x ((C4 x C2) : C2)	C2-nilpotent2	false	2	C12 x C2
48	48	C2 x S4	UNRESOLVED	false	0	-
48	49	C2 x C2 x A4	R1-subdirect	false	3	C2 x C2 x C2 x C2
48	50	(C2 x C2 x C2 x C2) : C3	R1-subdirect	false	3	C2 x C2 x C2 x C2
48	51	C2 x C2 x C2 x S3	C3-AsemiE	false	2	C6 x C2 x C2
48	52	C6 x C2 x C2 x C2	C1-abelian	false	2	C6 x C2 x C2
49	1	C49	C1-abelian	true	49	1
49	2	C7 x C7	C1-abelian	false	7	C7
50	1	D50	C3-AsemiE	true	2	C25
50	2	C50	C1-abelian	false	2	C25
50	3	C5 x D10	C3-AsemiE	false	2	C5 x C5
50	4	(C5 x C5) : C2	C3-AsemiE	false	2	C5 x C5
50	5	C10 x C5	C1-abelian	false	2	C5 x C5
51	1	C51	C1-abelian	false	3	C17
52	1	C13 : C4	C4-dicyclic	false	4	C13
52	2	C52	C1-abelian	false	4	C13
52	3	C13 : C4	UNRESOLVED	true	4	C13
52	4	D52	C3-AsemiE	false	2	C26
52	5	C26 x C2	C1-abelian	false	2	C26
